date,year,month,day,weekday,weekday_name,is_weekend,week_of_year
2018-01-26,2018,1,26,4,周五,0,4
2018-01-27,2018,1,27,5,周六,1,4
2018-01-28,2018,1,28,6,周日,1,4
2018-01-29,2018,1,29,0,周一,0,5
2018-01-30,2018,1,30,1,周二,0,5
2018-01-31,2018,1,31,2,周三,0,5
2018-02-01,2018,2,1,3,周四,0,5
2018-02-02,2018,2,2,4,周五,0,5
2018-02-03,2018,2,3,5,周六,1,5
2018-02-04,2018,2,4,6,周日,1,5
2018-02-05,2018,2,5,0,周一,0,6
2018-02-06,2018,2,6,1,周二,0,6
2018-02-07,2018,2,7,2,周三,0,6
2018-02-08,2018,2,8,3,周四,0,6
2018-02-09,2018,2,9,4,周五,0,6
2018-02-10,2018,2,10,5,周六,1,6
2018-02-11,2018,2,11,6,周日,1,6
2018-02-12,2018,2,12,0,周一,0,7
2018-02-13,2018,2,13,1,周二,0,7
2018-02-14,2018,2,14,2,周三,0,7
2018-02-15,2018,2,15,3,周四,0,7
2018-02-16,2018,2,16,4,周五,0,7
2018-02-17,2018,2,17,5,周六,1,7
2018-02-18,2018,2,18,6,周日,1,7
2018-02-19,2018,2,19,0,周一,0,8
2018-02-20,2018,2,20,1,周二,0,8
2018-02-21,2018,2,21,2,周三,0,8
2018-02-22,2018,2,22,3,周四,0,8
2018-02-23,2018,2,23,4,周五,0,8
2018-02-24,2018,2,24,5,周六,1,8
2018-02-25,2018,2,25,6,周日,1,8
2018-02-26,2018,2,26,0,周一,0,9
2018-02-27,2018,2,27,1,周二,0,9
2018-02-28,2018,2,28,2,周三,0,9
2018-03-01,2018,3,1,3,周四,0,9
2018-03-02,2018,3,2,4,周五,0,9
2018-03-03,2018,3,3,5,周六,1,9
2018-03-04,2018,3,4,6,周日,1,9
2018-03-05,2018,3,5,0,周一,0,10
2018-03-06,2018,3,6,1,周二,0,10
2018-03-07,2018,3,7,2,周三,0,10
2018-03-08,2018,3,8,3,周四,0,10
2018-03-09,2018,3,9,4,周五,0,10
2018-03-10,2018,3,10,5,周六,1,10
2018-03-11,2018,3,11,6,周日,1,10
2018-03-12,2018,3,12,0,周一,0,11
2018-03-13,2018,3,13,1,周二,0,11
2018-03-14,2018,3,14,2,周三,0,11
2018-03-15,2018,3,15,3,周四,0,11
2018-03-16,2018,3,16,4,周五,0,11
2018-03-17,2018,3,17,5,周六,1,11
2018-03-18,2018,3,18,6,周日,1,11
2018-03-19,2018,3,19,0,周一,0,12
2018-03-20,2018,3,20,1,周二,0,12
2018-03-21,2018,3,21,2,周三,0,12
2018-03-22,2018,3,22,3,周四,0,12
2018-03-23,2018,3,23,4,周五,0,12
2018-03-24,2018,3,24,5,周六,1,12
2018-03-25,2018,3,25,6,周日,1,12
2018-03-26,2018,3,26,0,周一,0,13
2018-03-27,2018,3,27,1,周二,0,13
2018-03-28,2018,3,28,2,周三,0,13
2018-03-29,2018,3,29,3,周四,0,13
2018-03-30,2018,3,30,4,周五,0,13
2018-03-31,2018,3,31,5,周六,1,13
2018-04-01,2018,4,1,6,周日,1,13
2018-04-02,2018,4,2,0,周一,0,14
2018-04-03,2018,4,3,1,周二,0,14
2018-04-04,2018,4,4,2,周三,0,14
2018-04-05,2018,4,5,3,周四,0,14
2018-04-06,2018,4,6,4,周五,0,14
2018-04-07,2018,4,7,5,周六,1,14
2018-04-08,2018,4,8,6,周日,1,14
2018-04-09,2018,4,9,0,周一,0,15
2018-04-10,2018,4,10,1,周二,0,15
2018-04-11,2018,4,11,2,周三,0,15
2018-04-12,2018,4,12,3,周四,0,15
2018-04-13,2018,4,13,4,周五,0,15
2018-04-14,2018,4,14,5,周六,1,15
2018-04-15,2018,4,15,6,周日,1,15
2018-04-16,2018,4,16,0,周一,0,16
2018-04-17,2018,4,17,1,周二,0,16
2018-04-18,2018,4,18,2,周三,0,16
2018-04-19,2018,4,19,3,周四,0,16
2018-04-20,2018,4,20,4,周五,0,16
2018-04-21,2018,4,21,5,周六,1,16
2018-04-22,2018,4,22,6,周日,1,16
2018-04-23,2018,4,23,0,周一,0,17
2018-04-24,2018,4,24,1,周二,0,17
2018-04-25,2018,4,25,2,周三,0,17
2018-04-26,2018,4,26,3,周四,0,17
2018-04-27,2018,4,27,4,周五,0,17
2018-04-28,2018,4,28,5,周六,1,17
2018-04-29,2018,4,29,6,周日,1,17
2018-04-30,2018,4,30,0,周一,0,18
2018-05-01,2018,5,1,1,周二,0,18
2018-05-02,2018,5,2,2,周三,0,18
2018-05-03,2018,5,3,3,周四,0,18
2018-05-04,2018,5,4,4,周五,0,18
2018-05-05,2018,5,5,5,周六,1,18
2018-05-06,2018,5,6,6,周日,1,18
2018-05-07,2018,5,7,0,周一,0,19
2018-05-08,2018,5,8,1,周二,0,19
2018-05-09,2018,5,9,2,周三,0,19
2018-05-10,2018,5,10,3,周四,0,19
2018-05-11,2018,5,11,4,周五,0,19
2018-05-12,2018,5,12,5,周六,1,19
2018-05-13,2018,5,13,6,周日,1,19
2018-05-14,2018,5,14,0,周一,0,20
2018-05-15,2018,5,15,1,周二,0,20
2018-05-16,2018,5,16,2,周三,0,20
2018-05-17,2018,5,17,3,周四,0,20
2018-05-18,2018,5,18,4,周五,0,20
2018-05-19,2018,5,19,5,周六,1,20
2018-05-20,2018,5,20,6,周日,1,20
2018-05-21,2018,5,21,0,周一,0,21
2018-05-22,2018,5,22,1,周二,0,21
2018-05-23,2018,5,23,2,周三,0,21
2018-05-24,2018,5,24,3,周四,0,21
2018-05-25,2018,5,25,4,周五,0,21
2018-05-26,2018,5,26,5,周六,1,21
2018-05-27,2018,5,27,6,周日,1,21
2018-05-28,2018,5,28,0,周一,0,22
2018-05-29,2018,5,29,1,周二,0,22
2018-05-30,2018,5,30,2,周三,0,22
2018-05-31,2018,5,31,3,周四,0,22
2018-06-01,2018,6,1,4,周五,0,22
2018-06-02,2018,6,2,5,周六,1,22
2018-06-03,2018,6,3,6,周日,1,22
2018-06-04,2018,6,4,0,周一,0,23
2018-06-05,2018,6,5,1,周二,0,23
2018-06-06,2018,6,6,2,周三,0,23
2018-06-07,2018,6,7,3,周四,0,23
2018-06-08,2018,6,8,4,周五,0,23
2018-06-09,2018,6,9,5,周六,1,23
2018-06-10,2018,6,10,6,周日,1,23
2018-06-11,2018,6,11,0,周一,0,24
2018-06-12,2018,6,12,1,周二,0,24
2018-06-13,2018,6,13,2,周三,0,24
2018-06-14,2018,6,14,3,周四,0,24
2018-06-15,2018,6,15,4,周五,0,24
2018-06-16,2018,6,16,5,周六,1,24
2018-06-17,2018,6,17,6,周日,1,24
2018-06-18,2018,6,18,0,周一,0,25
2018-06-19,2018,6,19,1,周二,0,25
2018-06-20,2018,6,20,2,周三,0,25
2018-06-21,2018,6,21,3,周四,0,25
2018-06-22,2018,6,22,4,周五,0,25
2018-06-23,2018,6,23,5,周六,1,25
2018-06-24,2018,6,24,6,周日,1,25
2018-06-25,2018,6,25,0,周一,0,26
2018-06-26,2018,6,26,1,周二,0,26
2018-06-27,2018,6,27,2,周三,0,26
2018-06-28,2018,6,28,3,周四,0,26
2018-06-29,2018,6,29,4,周五,0,26
2018-06-30,2018,6,30,5,周六,1,26
2018-07-01,2018,7,1,6,周日,1,26
2018-07-02,2018,7,2,0,周一,0,27
2018-07-03,2018,7,3,1,周二,0,27
2018-07-04,2018,7,4,2,周三,0,27
2018-07-05,2018,7,5,3,周四,0,27
2018-07-06,2018,7,6,4,周五,0,27
2018-07-07,2018,7,7,5,周六,1,27
2018-07-08,2018,7,8,6,周日,1,27
2018-07-09,2018,7,9,0,周一,0,28
2018-07-10,2018,7,10,1,周二,0,28
2018-07-11,2018,7,11,2,周三,0,28
2018-07-12,2018,7,12,3,周四,0,28
2018-07-13,2018,7,13,4,周五,0,28
2018-07-14,2018,7,14,5,周六,1,28
2018-07-15,2018,7,15,6,周日,1,28
2018-07-16,2018,7,16,0,周一,0,29
2018-07-17,2018,7,17,1,周二,0,29
2018-07-18,2018,7,18,2,周三,0,29
2018-07-19,2018,7,19,3,周四,0,29
2018-07-20,2018,7,20,4,周五,0,29
2018-07-21,2018,7,21,5,周六,1,29
2018-07-22,2018,7,22,6,周日,1,29
2018-07-23,2018,7,23,0,周一,0,30
2018-07-24,2018,7,24,1,周二,0,30
2018-07-25,2018,7,25,2,周三,0,30
2018-07-26,2018,7,26,3,周四,0,30
2018-07-27,2018,7,27,4,周五,0,30
2018-07-28,2018,7,28,5,周六,1,30
2018-07-29,2018,7,29,6,周日,1,30
2018-07-30,2018,7,30,0,周一,0,31
2018-07-31,2018,7,31,1,周二,0,31
2018-08-01,2018,8,1,2,周三,0,31
2018-08-02,2018,8,2,3,周四,0,31
2018-08-03,2018,8,3,4,周五,0,31
2018-08-04,2018,8,4,5,周六,1,31
2018-08-05,2018,8,5,6,周日,1,31
2018-08-06,2018,8,6,0,周一,0,32
2018-08-07,2018,8,7,1,周二,0,32
2018-08-08,2018,8,8,2,周三,0,32
2018-08-09,2018,8,9,3,周四,0,32
2018-08-10,2018,8,10,4,周五,0,32
2018-08-11,2018,8,11,5,周六,1,32
2018-08-12,2018,8,12,6,周日,1,32
2018-08-13,2018,8,13,0,周一,0,33
2018-08-14,2018,8,14,1,周二,0,33
2018-08-15,2018,8,15,2,周三,0,33
2018-08-16,2018,8,16,3,周四,0,33
2018-08-17,2018,8,17,4,周五,0,33
2018-08-18,2018,8,18,5,周六,1,33
2018-08-19,2018,8,19,6,周日,1,33
2018-08-20,2018,8,20,0,周一,0,34
2018-08-21,2018,8,21,1,周二,0,34
2018-08-22,2018,8,22,2,周三,0,34
2018-08-23,2018,8,23,3,周四,0,34
2018-08-24,2018,8,24,4,周五,0,34
2018-08-25,2018,8,25,5,周六,1,34
2018-08-26,2018,8,26,6,周日,1,34
2018-08-27,2018,8,27,0,周一,0,35
2018-08-28,2018,8,28,1,周二,0,35
